exclusion_category,raw_row_index,system_id,datetime_iso,reason,details
TARGET_UNAVAILABLE,-1,IMD-2016-3-UNNAMED3,2016-07-06T18:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-3-UNNAMED3,2016-07-07T00:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-4-UNNAMED4,2016-08-12T00:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-4-UNNAMED4,2016-08-12T03:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-4-UNNAMED4,2016-08-12T06:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-4-UNNAMED4,2016-08-12T12:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-4-UNNAMED4,2016-08-12T18:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-5-UNNAMED5,2016-08-20T00:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-5-UNNAMED5,2016-08-20T03:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-5-UNNAMED5,2016-08-20T06:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-5-UNNAMED5,2016-08-20T12:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-5-UNNAMED5,2016-08-20T18:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-6-KYANT,2016-10-27T00:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-6-KYANT,2016-10-27T03:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-6-KYANT,2016-10-27T06:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-6-KYANT,2016-10-27T12:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-6-KYANT,2016-10-27T18:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-7-UNNAMED7,2016-11-05T18:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-7-UNNAMED7,2016-11-06T00:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-7-UNNAMED7,2016-11-06T03:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-7-UNNAMED7,2016-11-06T06:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-7-UNNAMED7,2016-11-06T09:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-8-NADA,2016-12-01T00:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-8-NADA,2016-12-01T03:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-8-NADA,2016-12-01T06:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-8-NADA,2016-12-01T12:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-8-NADA,2016-12-01T18:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-9-VARDAH,2016-12-12T06:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
